,Symbol,Expiration,Size,Strike,Spot,Received,Type,Cap,diff
32,NYMT,2022/01/21,$117.75K,3.0,3.7,2021/01/16 04:02,Put,117.75,367
33,PFE,2021/06/18,$445.00K,38.0,36.69,2021/01/16 04:02,Call,445.0,150
35,CAR,2021/03/19,$1.36M,40.0,39.48,2021/01/16 04:00,Put,1360.0,59
36,CAR,2021/03/19,$1.20M,40.0,39.48,2021/01/16 04:00,Call,1200.0,59
37,NIU,2021/02/19,$240.00K,30.0,37.6,2021/01/16 04:00,Put,240.0,31
38,THC,2022/01/21,$100.00K,8.0,47.48,2021/01/16 04:00,Put,100.0,367
39,PSTH,2021/12/17,$1.12M,40.0,29.29,2021/01/16 03:57,Call,1120.0,332
40,CCJ,2021/06/18,$402.00K,12.0,12.99,2021/01/16 03:55,Put,402.0,150
41,BHC,2021/02/19,$279.00K,26.0,26.51,2021/01/16 03:55,Put,279.0,31
42,DBX,2021/07/16,$273.99K,28.0,22.06,2021/01/16 03:54,Call,273.99,178
45,LVS,2021/03/19,$136.50K,65.0,53.98,2021/01/16 03:49,Call,136.5,59
46,LVS,2021/03/19,$357.00K,50.0,53.99,2021/01/16 03:49,Put,357.0,59
49,BB,2021/02/19,$198.00K,12.0,10.02,2021/01/16 03:44,Call,198.0,31
51,TAP,2021/02/12,$81.18K,47.0,52.62,2021/01/16 03:37,Put,81.18,24
52,TAP,2021/02/12,$108.24K,58.0,52.62,2021/01/16 03:37,Call,108.24,24
53,AAL,2021/01/22,$46.20K,16.5,15.83,2021/01/16 03:34,Call,46.2,3
55,XOM,2021/02/19,$46.26K,57.5,48.15,2021/01/16 03:32,Call,46.26,31
56,XOM,2021/02/19,$171.16K,52.5,48.15,2021/01/16 03:32,Call,171.16,31
57,CREE,2021/01/29,$405.00K,140.0,117.88,2021/01/16 03:31,Call,405.0,10
59,PBR,2021/02/19,$217.65K,11.0,10.98,2021/01/16 03:30,Call,217.65,31
60,REZI,2021/02/19,$139.02K,30.0,25.18,2021/01/16 03:30,Call,139.02,31
61,AAL,2021/02/19,$27.97K,12.0,15.85,2021/01/16 03:30,Put,27.97,31
62,EC,2021/02/19,$47.38K,15.0,13.99,2021/01/16 03:29,Call,47.38,31
64,EQNR,2021/02/19,$99.50K,20.0,19.25,2021/01/16 03:29,Call,99.5,31
66,XENT,2021/02/19,$400.00K,25.0,24.28,2021/01/16 03:28,Call,400.0,31
67,XENT,2021/02/19,$200.00K,22.5,24.28,2021/01/16 03:28,Put,200.0,31
68,E,2021/02/19,$72.92K,22.5,21.31,2021/01/16 03:28,Call,72.92,31
69,AAL,2021/01/22,$139.94K,16.0,15.82,2021/01/16 03:27,Put,139.94,3
72,BP,2021/02/19,$164.38K,25.0,24.29,2021/01/16 03:26,Call,164.38,31
73,UAL,2021/01/29,$183.55K,42.0,44.3,2021/01/16 03:26,Put,183.55,10
76,OXY,2021/03/19,$735.00K,22.0,22.73,2021/01/16 03:25,Call,735.0,59
77,OXY,2021/03/19,$555.00K,22.0,22.73,2021/01/16 03:25,Put,555.0,59
78,VALE,2023/01/20,$273.70K,35.0,17.81,2021/01/16 03:25,Call,273.7,731
79,SNAP,2021/01/29,$3.40M,51.0,49.99,2021/01/16 03:24,Call,3400.0,10
81,OXY,2021/02/19,$362.32K,23.0,22.73,2021/01/16 03:23,Call,362.32,31
82,AAL,2021/01/22,$150.74K,16.0,15.8,2021/01/16 03:23,Put,150.74,3
83,SPCE,2021/01/29,$94.27K,40.0,31.17,2021/01/16 03:22,Call,94.27,10
84,UAL,2021/01/29,$177.25K,42.0,44.24,2021/01/16 03:21,Put,177.25,10
85,DAL,2021/01/29,$130.31K,42.0,40.24,2021/01/16 03:21,Call,130.31,10
86,DAL,2021/01/29,$29.18K,46.0,40.24,2021/01/16 03:21,Call,29.18,10
87,JD,2021/02/19,$1.21M,90.0,87.68,2021/01/16 03:21,Put,1210.0,31
88,GM,2021/01/22,$194.10K,50.0,50.16,2021/01/16 03:20,Put,194.1,3
90,VRT,2021/02/19,$90.00K,17.5,19.3,2021/01/16 03:17,Put,90.0,31
91,SNAP,2021/01/29,$238.82K,52.0,50.14,2021/01/16 03:17,Call,238.82,10
92,NIO,2021/02/05,$75.00K,85.0,57.22,2021/01/16 03:14,Call,75.0,17
93,DVN,2021/01/22,$93.46K,20.0,19.72,2021/01/16 03:13,Call,93.46,3
95,ETM,2021/02/19,$52.50K,3.0,3.4,2021/01/16 03:07,Put,52.5,31
96,DKNG,2021/01/22,$101.30K,60.0,54.35,2021/01/16 03:07,Call,101.3,3
97,ZM,2021/05/21,$32.31M,280.0,391.67,2021/01/16 03:07,Call,32310.000000000004,122
98,GSAT,2021/07/16,$62.73K,2.0,0.89,2021/01/16 03:04,Call,62.73,178
99,WORK,2021/02/19,$75.00K,44.0,41.89,2021/01/16 03:00,Call,75.0,31
100,WORK,2021/02/19,$150.00K,39.0,41.89,2021/01/16 03:00,Put,150.0,31
101,ACB,2021/03/19,$30.62K,6.0,12.14,2021/01/16 03:00,Put,30.62,59
102,FB,2021/03/19,$3.21M,250.0,252.04,2021/01/16 02:56,Put,3210.0,59
103,FB,2021/03/19,$3.66M,250.0,252.04,2021/01/16 02:56,Call,3660.0,59
104,DAL,2021/02/19,$51.00K,48.0,40.26,2021/01/16 02:55,Call,51.0,31
105,MDLZ,2021/01/29,$100.50K,58.5,57.24,2021/01/16 02:53,Call,100.5,10
107,GFI,2021/02/19,$192.97K,10.0,9.03,2021/01/16 02:52,Call,192.97,31
110,RKT,2021/02/19,$60.00K,30.0,19.68,2021/01/16 02:52,Call,60.0,31
111,RKT,2021/02/19,$7.72M,30.0,19.68,2021/01/16 02:52,Put,7720.0,31
112,RTX,2022/01/21,$3.08M,75.0,69.46,2021/01/16 02:52,Call,3080.0,367
114,TEVA,2021/02/19,$156.00K,13.0,12.03,2021/01/16 02:50,Call,156.0,31
115,FB,2021/03/19,$4.58M,250.0,251.89,2021/01/16 02:47,Call,4580.0,59
116,FB,2021/03/19,$4.04M,250.0,251.89,2021/01/16 02:47,Put,4040.0,59
117,CCIV,2021/02/19,$1.17M,15.0,18.59,2021/01/16 02:45,Call,1170.0,31
118,CCIV,2021/02/19,$866.00K,20.0,18.59,2021/01/16 02:45,Call,866.0,31
119,SENS,2021/02/19,$52.50K,1.5,1.76,2021/01/16 02:44,Call,52.5,31
120,HZNP,2021/02/19,$65.52K,100.0,78.3,2021/01/16 02:42,Call,65.52,31
121,JPM,2021/02/19,$84.17K,155.0,139.72,2021/01/16 02:42,Call,84.17,31
122,SBSW,2021/02/19,$268.66K,17.5,16.26,2021/01/16 02:42,Call,268.66,31
123,RRC,2021/02/19,$603.00K,11.0,10.21,2021/01/16 02:40,Call,603.0,31
124,RRC,2021/02/19,$360.00K,12.0,10.21,2021/01/16 02:40,Call,360.0,31
125,RRC,2021/02/19,$990.00K,10.0,10.21,2021/01/16 02:40,Call,990.0,31
126,RRC,2021/02/19,$1.49M,9.0,10.21,2021/01/16 02:40,Call,1490.0,31
127,AU,2021/02/19,$223.86K,24.0,22.43,2021/01/16 02:40,Call,223.86,31
128,AMC,2021/02/19,$123.11K,3.0,2.38,2021/01/16 02:40,Call,123.11,31
131,CCIV,2021/02/19,$601.57K,20.0,18.53,2021/01/16 02:37,Call,601.57,31
132,CCIV,2021/02/19,$811.42K,15.0,18.53,2021/01/16 02:37,Call,811.42,31
134,SFM,2021/06/18,$211.15K,21.0,20.77,2021/01/16 02:36,Put,211.15,150
136,FE,2021/04/16,$216.00K,33.0,31.37,2021/01/16 02:35,Call,216.0,87
137,CNX,2021/02/19,$356.25K,15.0,14.04,2021/01/16 02:34,Call,356.25,31
138,CNX,2021/02/19,$190.00K,16.0,14.04,2021/01/16 02:34,Call,190.0,31
139,CNX,2021/02/19,$1.26M,12.0,14.04,2021/01/16 02:34,Call,1260.0,31
140,CNX,2021/02/19,$660.00K,14.0,14.04,2021/01/16 02:34,Call,660.0,31
143,VALE,2023/01/20,$173.51K,35.0,17.89,2021/01/16 02:29,Call,173.51,731
144,PAGP,2021/02/19,$110.00K,12.0,10.64,2021/01/16 02:28,Call,110.0,31
145,C,2021/09/17,$622.71K,60.0,65.22,2021/01/16 02:28,Put,622.71,241
146,VALE,2021/02/19,$18.69K,25.0,17.88,2021/01/16 02:27,Call,18.69,31
148,VALE,2023/01/20,$136.73K,35.0,17.91,2021/01/16 02:24,Call,136.73,731
149,NIU,2021/02/19,$230.00K,30.0,37.63,2021/01/16 02:23,Put,230.0,31
150,SFM,2021/03/19,$145.00K,21.0,20.82,2021/01/16 02:15,Put,145.0,59
151,CSCO,2021/02/19,$230.40K,45.0,45.44,2021/01/16 02:14,Put,230.4,31
153,MARA,2021/01/22,$262.00K,23.0,23.15,2021/01/16 02:14,Put,262.0,3
156,XPEV,2021/07/16,$183.27K,25.0,47.97,2021/01/16 02:13,Put,183.27,178
157,LI,2021/09/17,$1.74M,32.0,32.82,2021/01/16 02:12,Put,1740.0,241
158,XOM,2021/02/19,$324.00K,45.0,48.61,2021/01/16 02:10,Put,324.0,31
159,CAT,2021/02/19,$168.00K,220.0,193.78,2021/01/16 02:10,Call,168.0,31
161,NIO,2021/08/20,$532.50K,30.0,57.01,2021/01/16 02:10,Put,532.5,213
162,BABA,2021/02/19,$2.50M,225.0,244.28,2021/01/16 02:09,Call,2500.0,31
164,JD,2021/02/19,$815.36K,90.0,87.86,2021/01/16 02:09,Put,815.36,31
166,JD,2021/02/19,$810.24K,90.0,87.86,2021/01/16 02:09,Call,810.24,31
167,JD,2021/02/19,$1.22M,90.0,87.86,2021/01/16 02:09,Put,1220.0,31
168,JD,2021/02/19,$540.16K,90.0,87.86,2021/01/16 02:09,Call,540.16,31
172,JNJ,2021/02/19,$99.75K,180.0,161.24,2021/01/16 02:08,Call,99.75,31
173,JNJ,2021/02/19,$332.50K,170.0,161.24,2021/01/16 02:08,Call,332.5,31
176,BHC,2021/02/19,$660.00K,26.0,26.11,2021/01/16 02:05,Put,660.0,31
177,BHC,2021/02/19,$414.00K,25.0,26.11,2021/01/16 02:05,Put,414.0,31
178,DD,2021/02/19,$10.00K,120.0,81.68,2021/01/16 02:05,Call,10.0,31
179,DD,2021/02/19,$7.76M,120.0,81.68,2021/01/16 02:05,Put,7760.0,31
180,NSTG,2021/02/19,$140.00K,60.0,71.92,2021/01/16 02:05,Put,140.0,31
181,NSTG,2021/02/19,$240.00K,80.0,71.92,2021/01/16 02:05,Call,240.0,31
184,BHC,2022/01/21,$2.65M,20.0,26.1,2021/01/16 02:05,Call,2650.0,367
186,VALE,2021/04/16,$480.00K,20.0,17.92,2021/01/16 02:02,Call,480.0,87
187,EVH,2022/01/21,$950.40K,10.0,18.05,2021/01/16 02:01,Call,950.4,367
188,MDLZ,2021/01/29,$213.00K,57.5,57.25,2021/01/16 02:01,Put,213.0,10
190,UA,2021/02/19,$475.00K,15.0,15.67,2021/01/16 02:01,Put,475.0,31
191,SNAP,2021/03/19,$719.96K,45.0,49.84,2021/01/16 01:59,Put,719.96,59
192,DVN,2021/02/19,$210.00K,22.0,19.76,2021/01/16 01:59,Call,210.0,31
194,UNFI,2021/02/19,$152.00K,25.0,22.35,2021/01/16 01:56,Call,152.0,31
195,LVS,2021/03/19,$424.89K,55.0,54.72,2021/01/16 01:56,Call,424.89,59
196,IQ,2022/01/21,$148.41K,7.5,19.6,2021/01/16 01:55,Put,148.41,367
197,FSLR,2021/06/18,$880.00K,90.0,98.36,2021/01/16 01:55,Put,880.0,150
198,FSLR,2021/09/17,$910.00K,85.0,98.28,2021/01/16 01:55,Put,910.0,241
200,LVS,2021/03/19,$606.89K,55.0,54.67,2021/01/16 01:54,Call,606.89,59
201,EMR,2021/06/18,$555.00K,75.0,82.81,2021/01/16 01:51,Put,555.0,150
202,LVS,2021/03/19,$40.50K,75.0,54.31,2021/01/16 01:49,Call,40.5,59
203,LVS,2021/03/19,$312.00K,60.0,54.31,2021/01/16 01:49,Call,312.0,59
204,LVS,2021/03/19,$337.50K,50.0,54.31,2021/01/16 01:49,Put,337.5,59
205,VALE,2023/01/20,$585.00K,35.0,17.9,2021/01/16 01:48,Call,585.0,731
206,SENS,2021/02/19,$50.00K,1.5,1.68,2021/01/16 01:48,Call,50.0,31
208,SKY,2021/02/19,$85.00K,37.0,32.8,2021/01/16 01:47,Call,85.0,31
209,FB,2022/01/21,$4.55M,240.0,252.31,2021/01/16 01:46,Call,4550.0,367
210,FB,2022/01/21,$3.17M,240.0,252.31,2021/01/16 01:46,Put,3170.0,367
211,WDC,2021/03/19,$1.74M,50.0,50.96,2021/01/16 01:45,Call,1740.0,59
212,WDC,2021/03/19,$1.39M,50.0,50.96,2021/01/16 01:45,Put,1390.0,59
213,FCEL,2023/01/20,$830.00K,35.0,15.91,2021/01/16 01:44,Call,830.0,731
214,FB,2021/01/22,$999.00K,260.0,252.47,2021/01/16 01:44,Put,999.0,3
216,HAS,2021/02/19,$1.39M,97.5,97.75,2021/01/16 01:43,Call,1390.0,31
218,BMY,2021/02/19,$156.00K,65.0,66.75,2021/01/16 01:42,Put,156.0,31
219,BMY,2021/03/19,$150.80K,62.5,66.75,2021/01/16 01:42,Put,150.8,59
220,ABR,2023/01/20,$150.00K,10.0,14.4,2021/01/16 01:40,Put,150.0,731
221,SNAP,2021/03/19,$514.63K,45.0,49.69,2021/01/16 01:38,Put,514.63,59
222,FB,2021/03/19,$2.15M,245.0,252.6,2021/01/16 01:38,Call,2150.0,59
223,FB,2021/03/19,$1.38M,245.0,252.6,2021/01/16 01:38,Put,1380.0,59
224,FB,2021/03/19,$4.30M,245.0,252.6,2021/01/16 01:38,Call,4300.0,59
225,FB,2021/03/19,$2.75M,245.0,252.6,2021/01/16 01:38,Put,2750.0,59
226,HGEN,2021/02/19,$555.00K,17.5,17.85,2021/01/16 01:37,Call,555.0,31
227,HGEN,2021/05/21,$518.00K,30.0,17.85,2021/01/16 01:37,Call,518.0,122
228,HGEN,2021/05/21,$1.06M,22.5,17.85,2021/01/16 01:37,Call,1060.0,122
229,HGEN,2021/02/19,$425.50K,17.5,17.85,2021/01/16 01:37,Put,425.5,31
232,DIS,2021/03/19,$524.00K,150.0,171.42,2021/01/16 01:35,Put,524.0,59
234,LLY,2021/02/19,$925.85K,195.0,191.43,2021/01/16 01:34,Call,925.85,31
235,NIO,2022/01/21,$1.35M,45.0,57.29,2021/01/16 01:32,Put,1350.0,367
236,NIO,2022/01/21,$590.00K,30.0,57.29,2021/01/16 01:32,Put,590.0,367
237,KGC,2021/05/21,$82.00K,7.0,7.09,2021/01/16 01:32,Put,82.0,122
238,FCEL,2022/01/21,$1.81M,4.0,15.76,2021/01/16 01:31,Call,1810.0,367
239,LVS,2021/01/22,$63.31K,57.0,54.21,2021/01/16 01:30,Call,63.31,3
242,FB,2021/02/19,$1.86M,245.0,253.02,2021/01/16 01:27,Call,1860.0,31
243,FB,2021/02/19,$1.04M,245.0,253.02,2021/01/16 01:27,Put,1040.0,31
244,AMC,2022/01/21,$137.19K,5.5,2.43,2021/01/16 01:26,Call,137.19,367
245,AXL,2022/01/21,$162.50K,3.0,8.8,2021/01/16 01:26,Put,162.5,367
247,FOSL,2021/01/29,$166.50K,9.5,9.9,2021/01/16 01:24,Call,166.5,10
248,LBTYA,2021/07/16,$219.03K,22.5,24.64,2021/01/16 01:23,Put,219.03,178
250,ENBL,2021/02/19,$26.25K,7.5,6.07,2021/01/16 01:21,Call,26.25,31
251,AGO,2021/07/16,$526.05K,45.0,38.72,2021/01/16 01:20,Call,526.05,178
252,WMB,2021/02/19,$91.86K,24.0,22.42,2021/01/16 01:20,Call,91.86,31
253,UBER,2021/01/22,$156.00K,58.0,55.94,2021/01/16 01:20,Call,156.0,3
255,WMT,2021/03/19,$962.50K,155.0,145.83,2021/01/16 01:20,Call,962.5,59
256,WMT,2021/03/19,$798.00K,135.0,145.83,2021/01/16 01:20,Put,798.0,59
257,CCL,2021/04/16,$178.73K,17.5,20.95,2021/01/16 01:19,Put,178.73,87
258,KO,2021/06/18,$171.00K,45.0,48.79,2021/01/16 01:18,Put,171.0,150
259,SENS,2021/04/16,$49.96K,3.0,1.69,2021/01/16 01:14,Call,49.96,87
260,SENS,2021/03/19,$68.69K,2.0,1.69,2021/01/16 01:13,Call,68.69,59
261,NIU,2021/02/19,$220.00K,30.0,37.94,2021/01/16 01:13,Put,220.0,31
262,NIU,2021/03/19,$482.24K,35.0,38.02,2021/01/16 01:12,Put,482.24,59
265,C,2021/06/18,$705.60K,60.0,64.63,2021/01/16 01:11,Put,705.6,150
266,SLG,2021/08/20,$510.00K,70.0,61.71,2021/01/16 01:10,Call,510.0,213
267,RIG,2022/01/21,$155.00K,3.0,3.27,2021/01/16 01:10,Call,155.0,367
268,AKAM,2021/03/19,$336.17K,95.0,106.22,2021/01/16 01:09,Put,336.17,59
269,DAL,2021/01/22,$69.63K,41.0,40.41,2021/01/16 01:09,Call,69.63,3
270,JNJ,2021/03/19,$350.00K,175.0,160.98,2021/01/16 01:08,Call,350.0,59
271,SE,2021/05/21,$2.24M,210.0,227.48,2021/01/16 01:07,Put,2240.0,122
272,C,2021/06/18,$830.00K,60.0,64.66,2021/01/16 01:05,Put,830.0,150
273,C,2021/02/19,$387.50K,67.5,64.73,2021/01/16 01:05,Call,387.5,31
274,PEP,2021/02/12,$45.00K,152.5,141.61,2021/01/16 01:05,Call,45.0,24
276,OPEN,2021/02/19,$1.81M,10.0,25.65,2021/01/16 01:03,Call,1810.0,31
277,VALE,2021/04/16,$1.53M,20.0,17.94,2021/01/16 01:03,Put,1530.0,87
278,OPEN,2021/02/19,$1.75M,10.0,25.61,2021/01/16 01:02,Call,1750.0,31
279,DD,2021/02/19,$16.00K,120.0,81.33,2021/01/16 01:02,Call,16.0,31
280,DD,2021/02/19,$7.82M,120.0,81.33,2021/01/16 01:02,Put,7820.0,31
281,FB,2021/02/19,$2.13M,245.0,252.73,2021/01/16 01:02,Put,2130.0,31
282,FB,2021/02/19,$3.72M,245.0,252.73,2021/01/16 01:02,Call,3720.0,31
284,ORCL,2021/02/19,$130.00K,65.0,61.75,2021/01/16 00:58,Call,130.0,31
286,PHM,2021/01/29,$1.19M,45.5,42.57,2021/01/16 00:57,Put,1190.0,10
287,TLRY,2021/01/22,$139.00K,22.0,19.94,2021/01/16 00:57,Call,139.0,3
288,RCII,2021/03/19,$260.00K,40.0,47.22,2021/01/16 00:57,Put,260.0,59
289,RCII,2021/03/19,$550.00K,50.0,47.22,2021/01/16 00:57,Call,550.0,59
290,RCII,2021/03/19,$110.00K,60.0,47.22,2021/01/16 00:57,Call,110.0,59
291,GPRO,2021/02/05,$62.52K,11.0,8.65,2021/01/16 00:56,Call,62.52,17
292,GSK,2021/02/12,$72.00K,40.0,38.54,2021/01/16 00:56,Call,72.0,24
293,GSK,2021/02/19,$100.00K,40.0,38.54,2021/01/16 00:56,Call,100.0,31
295,DIS,2021/03/19,$1.47M,190.0,170.29,2021/01/16 00:54,Call,1470.0,59
296,DIS,2021/03/19,$1.64M,155.0,170.29,2021/01/16 00:54,Put,1640.0,59
297,DD,2021/02/19,$9.78M,120.0,81.36,2021/01/16 00:54,Put,9780.0,31
300,CLF,2021/03/19,$48.69K,25.0,16.84,2021/01/16 00:51,Call,48.69,59
302,DD,2021/02/19,$4.82M,105.0,81.48,2021/01/16 00:51,Put,4820.0,31
303,DD,2021/02/12,$69.00K,105.0,81.54,2021/01/16 00:50,Call,69.0,24
304,DD,2021/02/12,$3.64M,105.0,81.54,2021/01/16 00:50,Put,3640.0,24
305,XOM,2021/02/12,$108.23K,51.0,48.34,2021/01/16 00:50,Call,108.23,24
306,RKT,2021/02/19,$148.00K,18.0,19.76,2021/01/16 00:50,Put,148.0,31
308,XOM,2023/01/20,$435.82K,30.0,48.45,2021/01/16 00:48,Put,435.82,731
309,ET,2021/02/19,$9.00K,9.0,7.0,2021/01/16 00:48,Call,9.0,31
315,BWA,2021/03/19,$784.55K,37.5,38.29,2021/01/16 00:46,Call,784.55,59
316,XOM,2021/02/19,$166.03K,50.0,48.43,2021/01/16 00:45,Call,166.03,31
317,MRK,2021/04/16,$447.89K,87.5,82.99,2021/01/16 00:45,Call,447.89,87
319,DISH,2022/01/21,$199.50K,10.0,33.1,2021/01/16 00:41,Put,199.5,367
320,TEVA,2021/02/19,$117.00K,13.0,11.71,2021/01/16 00:41,Call,117.0,31
321,DD,2021/02/12,$2.42M,105.0,81.57,2021/01/16 00:40,Put,2420.0,24
323,JPM,2021/02/19,$512.50K,140.0,138.46,2021/01/16 00:39,Call,512.5,31
324,KTB,2021/02/19,$225.00K,50.0,43.57,2021/01/16 00:38,Call,225.0,31
325,BB,2021/01/22,$193.80K,10.0,10.44,2021/01/16 00:38,Put,193.8,3
326,BB,2021/01/22,$193.80K,11.5,10.44,2021/01/16 00:38,Call,193.8,3
327,BABA,2021/03/19,$4.68M,250.0,245.53,2021/01/16 00:37,Put,4680.0,59
328,BABA,2021/03/19,$3.66M,250.0,245.53,2021/01/16 00:37,Call,3660.0,59
329,RXT,2021/02/19,$521.40K,20.0,18.73,2021/01/16 00:37,Call,521.4,31
330,ZNGA,2021/01/29,$50.61K,10.0,9.92,2021/01/16 00:35,Call,50.61,10
331,XOM,2021/02/19,$359.00K,50.0,48.42,2021/01/16 00:35,Put,359.0,31
332,XOM,2021/02/19,$159.00K,50.0,48.42,2021/01/16 00:35,Call,159.0,31
333,BBBY,2021/01/22,$73.78K,24.5,25.51,2021/01/16 00:32,Put,73.78,3
334,GSK,2021/02/19,$96.60K,40.0,38.61,2021/01/16 00:30,Call,96.6,31
335,ZNGA,2021/02/19,$94.50K,10.0,9.92,2021/01/16 00:30,Call,94.5,31
336,GM,2021/03/19,$637.50K,50.0,50.42,2021/01/16 00:30,Put,637.5,59
337,GM,2021/03/19,$714.00K,50.0,50.42,2021/01/16 00:30,Call,714.0,59
339,EBAY,2021/02/19,$388.50K,55.0,54.73,2021/01/16 00:29,Call,388.5,31
340,VIAC,2021/03/19,$292.50K,50.0,45.27,2021/01/16 00:29,Call,292.5,59
341,CAG,2021/02/19,$255.00K,33.0,33.95,2021/01/16 00:28,Call,255.0,31
342,MU,2021/04/16,$1.05M,85.0,80.96,2021/01/16 00:27,Call,1050.0,87
344,DD,2021/02/12,$4.88M,105.0,81.32,2021/01/16 00:27,Put,4880.0,24
345,FEYE,2021/02/19,$223.39K,25.0,22.29,2021/01/16 00:26,Call,223.39,31
346,UBER,2021/01/29,$137.24K,59.0,55.77,2021/01/16 00:26,Call,137.24,10
347,PPL,2021/03/19,$61.50K,30.0,28.4,2021/01/16 00:25,Call,61.5,59
349,NOK,2023/01/20,$48.00K,7.0,4.1,2021/01/16 00:23,Call,48.0,731
351,SUI,2021/02/19,$211.00K,130.0,137.93,2021/01/16 00:23,Put,211.0,31
354,KURA,2021/02/19,$220.00K,30.0,33.53,2021/01/16 00:22,Put,220.0,31
356,BABA,2021/03/19,$3.61M,250.0,244.94,2021/01/16 00:21,Call,3610.0,59
357,BABA,2021/03/19,$4.76M,250.0,244.94,2021/01/16 00:21,Put,4760.0,59
359,PINS,2021/02/19,$741.02K,90.0,69.89,2021/01/16 00:21,Call,741.02,31
360,PINS,2021/02/19,$906.19K,75.0,69.89,2021/01/16 00:21,Call,906.19,31
361,GE,2022/01/21,$390.00K,10.0,11.46,2021/01/16 00:21,Put,390.0,367
363,FLDM,2021/05/21,$500.00K,7.5,6.11,2021/01/16 00:21,Call,500.0,122
364,CCIV,2021/03/19,$800.00K,12.5,19.99,2021/01/16 00:20,Call,800.0,59
365,NOK,2023/01/20,$275.94K,4.0,4.1,2021/01/16 00:19,Call,275.94,731
366,SIX,2021/02/19,$370.00K,37.5,35.87,2021/01/16 00:19,Call,370.0,31
367,SIX,2021/02/19,$430.00K,35.0,35.87,2021/01/16 00:19,Put,430.0,31
368,TRGP,2021/02/19,$217.00K,34.0,30.09,2021/01/16 00:19,Call,217.0,31
369,CCIV,2021/03/19,$1.03M,12.5,20.18,2021/01/16 00:19,Call,1030.0,59
370,CCIV,2021/03/19,$830.00K,12.5,20.24,2021/01/16 00:19,Call,830.0,59
371,NYCB,2021/02/19,$64.63K,10.0,10.97,2021/01/16 00:18,Put,64.63,31
372,NIO,2021/03/19,$5.60M,55.0,57.8,2021/01/16 00:17,Call,5600.0,59
373,NIO,2021/03/19,$4.30M,55.0,57.78,2021/01/16 00:17,Put,4300.0,59
377,GPS,2021/01/22,$91.20K,22.5,21.88,2021/01/16 00:15,Call,91.2,3
378,BWA,2021/03/19,$706.86K,37.5,38.41,2021/01/16 00:14,Call,706.86,59
379,NVDA,2021/02/19,$9.04M,550.0,518.21,2021/01/16 00:13,Put,9040.0,31
380,NVDA,2021/02/19,$2.80M,550.0,518.21,2021/01/16 00:13,Call,2800.0,31
383,VALE,2021/03/19,$188.00K,18.0,17.9,2021/01/16 00:12,Put,188.0,59
384,GPS,2021/03/19,$147.14K,27.0,21.84,2021/01/16 00:11,Call,147.14,59
385,GPS,2021/03/19,$114.95K,17.0,21.84,2021/01/16 00:11,Put,114.95,59
386,GPS,2021/03/19,$262.46K,22.0,21.84,2021/01/16 00:11,Call,262.46,59
