,Symbol,Expiration,Size,Strike,Spot,Received,Type,Cap,diff,dt
89,NCLH,2021/02/05,$188.00K,28.5,25.64,2021/01/20 02:50,Call,188.0,16,20210119
90,MGY,2021/02/19,$346.50K,7.5,8.99,2021/01/20 02:49,Put,346.5,30,20210119
91,BABA,2021/02/19,$633.82K,275.0,249.59,2021/01/20 02:47,Call,633.82,30,20210119
92,CX,2021/03/19,$260.00K,5.5,6.64,2021/01/20 02:43,Call,260.0,58,20210119
93,UPLD,2021/04/16,$470.93K,50.0,47.14,2021/01/20 02:43,Call,470.93,86,20210119
94,UPLD,2021/07/16,$505.05K,55.0,47.14,2021/01/20 02:43,Call,505.05,177,20210119
95,NOK,2022/01/21,$490.00K,5.0,4.13,2021/01/20 02:43,Call,490.0,366,20210119
96,DAL,2021/06/18,$274.00K,36.0,40.59,2021/01/20 02:43,Put,274.0,149,20210119
97,TRXC,2021/07/16,$245.00K,1.5,3.65,2021/01/20 02:42,Call,245.0,177,20210119
98,TRXC,2021/03/19,$230.00K,1.5,3.65,2021/01/20 02:42,Call,230.0,58,20210119
99,IDEX,2023/01/20,$498.52K,7.0,3.35,2021/01/20 02:42,Call,498.52,730,20210119
100,Z,2022/01/21,$4.63M,125.0,144.37,2021/01/20 02:40,Put,4630.0,366,20210119
101,TSN,2021/07/16,$541.50K,62.5,64.1,2021/01/20 02:38,Put,541.5,177,20210119
102,GM,2022/01/21,$1.68M,45.0,54.83,2021/01/20 02:37,Call,1680.0,366,20210119
103,PLTR,2021/02/19,$2.86M,27.0,26.69,2021/01/20 02:34,Call,2860.0,30,20210119
104,SFM,2021/06/18,$675.00K,22.0,21.37,2021/01/20 02:34,Put,675.0,149,20210119
105,LLY,2021/03/19,$2.98M,200.0,197.65,2021/01/20 02:30,Call,2980.0,58,20210119
106,LLY,2021/03/19,$1.97M,220.0,197.65,2021/01/20 02:30,Call,1970.0,58,20210119
107,SBUX,2022/01/21,$205.00K,67.5,101.62,2021/01/20 02:28,Put,205.0,366,20210119
108,ADSK,2022/01/21,$1.47M,230.0,313.01,2021/01/20 02:26,Put,1470.0,366,20210119
109,XEC,2021/03/19,$450.00K,45.0,49.48,2021/01/20 02:25,Put,450.0,58,20210119
110,JKS,2021/02/19,$185.00K,80.0,62.28,2021/01/20 02:25,Call,185.0,30,20210119
111,JBLU,2021/02/19,$238.45K,16.0,15.11,2021/01/20 02:25,Call,238.45,30,20210119
112,GM,2021/06/18,$437.92K,75.0,54.51,2021/01/20 02:24,Call,437.92,149,20210119
