,Symbol,u_cnt,cnt,call,put,recent_7,if,call_ratio
262,CRM,14,43,26.0,17.0,11,1,0.6046511627906976
598,LB,14,45,44.0,1.0,11,0,0.9777777777777777
1001,TEVA,14,38,33.0,5.0,3,1,0.868421052631579
643,MAC,14,40,13.0,27.0,3,0,0.325
911,SE,14,20,11.0,9.0,7,1,0.55
1078,V,14,40,34.0,6.0,5,0,0.85
799,PDD,14,34,24.0,10.0,12,1,0.7058823529411765
714,NEE,14,20,12.0,8.0,5,1,0.6
446,GILD,14,29,22.0,7.0,5,1,0.7586206896551724
925,SKT,14,29,5.0,24.0,4,1,0.1724137931034483
773,OPEN,14,28,24.0,4.0,9,1,0.8571428571428571
421,FSR,14,29,22.0,7.0,16,1,0.7586206896551724
462,GOEV,14,31,29.0,2.0,13,0,0.9354838709677419
692,MRO,14,31,21.0,10.0,2,1,0.6774193548387096
845,PYPL,14,22,15.0,7.0,6,0,0.6818181818181818
314,DKNG,14,33,26.0,7.0,16,1,0.7878787878787878
762,OGI,15,25,18.0,7.0,5,0,0.72
638,LYFT,15,32,17.0,15.0,5,1,0.53125
575,KHC,15,23,16.0,7.0,4,1,0.6956521739130435
574,KGC,15,33,20.0,13.0,9,1,0.6060606060606061
1011,TJX,15,31,19.0,12.0,3,0,0.6129032258064516
224,CLOV,15,36,29.0,7.0,14,0,0.8055555555555556
949,SOS,15,80,77.0,3.0,10,1,0.9625
32,AG,16,28,21.0,7.0,4,0,0.75
471,GPS,16,30,18.0,12.0,7,1,0.6
430,FUTU,16,33,21.0,12.0,6,1,0.6363636363636364
927,SLB,16,33,28.0,5.0,7,1,0.8484848484848485
0,AA,16,42,40.0,2.0,17,1,0.9523809523809523
635,LUV,16,30,20.0,10.0,8,1,0.6666666666666666
218,CLF,16,46,38.0,8.0,15,0,0.8260869565217391
686,MPC,16,28,14.0,14.0,4,0,0.5
300,DBX,16,37,29.0,8.0,6,1,0.7837837837837838
187,CCIV,17,54,35.0,19.0,9,1,0.6481481481481481
900,SABR,17,38,26.0,12.0,4,0,0.6842105263157895
152,BMY,17,27,17.0,10.0,9,1,0.6296296296296297
476,GSX,17,62,38.0,24.0,4,0,0.6129032258064516
12,ACB,17,34,29.0,5.0,7,0,0.8529411764705882
294,DAL,17,53,42.0,11.0,7,1,0.7924528301886793
313,DISH,17,42,31.0,11.0,9,1,0.7380952380952381
111,BABA,17,95,56.0,39.0,0,0,0.5894736842105263
725,NIO,17,58,33.0,25.0,0,0,0.5689655172413793
557,JD,17,26,13.0,13.0,7,1,0.5
346,EGO,17,27,14.0,13.0,5,1,0.5185185185185185
562,JNJ,18,34,19.0,15.0,2,0,0.5588235294117647
541,IPOF,18,33,21.0,12.0,3,1,0.6363636363636364
811,PINS,18,48,34.0,14.0,15,1,0.7083333333333334
158,BP,18,36,28.0,8.0,6,0,0.7777777777777778
1054,UAL,18,42,29.0,13.0,9,1,0.6904761904761905
188,CCJ,19,63,52.0,11.0,11,1,0.8253968253968254
782,OXY,19,31,20.0,11.0,7,1,0.6451612903225806
436,GE,19,107,74.0,33.0,0,0,0.6915887850467289
1176,ZNGA,19,33,31.0,2.0,8,1,0.9393939393939394
776,ORCL,19,29,12.0,17.0,6,1,0.41379310344827586
958,SQ,20,57,32.0,25.0,10,0,0.5614035087719298
837,PSTH,20,65,44.0,21.0,20,1,0.676923076923077
710,NCLH,21,60,35.0,25.0,12,1,0.5833333333333334
1151,X,21,41,14.0,27.0,5,1,0.34146341463414637
1160,XPEV,21,61,12.0,49.0,18,1,0.19672131147540983
455,GME,21,72,28.0,44.0,7,0,0.3888888888888889
877,RIG,22,48,33.0,15.0,6,0,0.6875
820,PLUG,22,44,26.0,18.0,7,1,0.5909090909090909
113,BB,22,60,36.0,24.0,5,0,0.6
134,BHC,22,39,23.0,16.0,4,0,0.5897435897435898
1012,TLRY,23,66,58.0,8.0,5,0,0.8787878787878788
229,CMCSA,23,64,37.0,27.0,16,0,0.578125
612,LI,23,71,9.0,62.0,21,1,0.1267605633802817
372,ET,23,70,65.0,5.0,13,1,0.9285714285714286
1047,TWTR,24,75,43.0,32.0,22,1,0.5733333333333334
474,GSAT,24,233,228.0,5.0,5,1,0.9785407725321889
564,JPM,24,56,31.0,25.0,12,1,0.5535714285714286
59,AMC,25,115,77.0,38.0,18,1,0.6695652173913044
310,DIS,25,62,44.0,18.0,13,1,0.7096774193548387
1037,TSM,26,56,30.0,26.0,10,1,0.5357142857142857
586,KO,26,55,40.0,15.0,11,1,0.7272727272727273
391,FCX,26,120,90.0,30.0,19,1,0.75
465,GOLD,26,77,42.0,35.0,20,1,0.5454545454545454
701,MU,27,94,72.0,22.0,34,1,0.7659574468085106
794,PBR,27,188,118.0,70.0,52,1,0.6276595744680851
936,SNAP,27,86,56.0,30.0,17,1,0.6511627906976745
938,SNDL,28,179,161.0,18.0,19,1,0.8994413407821229
1089,VIAC,29,103,21.0,82.0,15,1,0.20388349514563106
805,PFE,29,98,62.0,36.0,17,0,0.6326530612244898
819,PLTR,30,286,115.0,171.0,86,1,0.4020979020979021
636,LVS,31,198,172.0,26.0,30,1,0.8686868686868687
272,CSCO,31,96,37.0,59.0,9,1,0.3854166666666667
453,GM,31,152,105.0,47.0,18,1,0.6907894736842105
736,NOK,32,322,266.0,56.0,18,1,0.8260869565217391
1158,XOM,32,187,134.0,53.0,48,1,0.7165775401069518
1055,UBER,33,127,77.0,50.0,26,1,0.6062992125984252
2,AAL,33,224,111.0,113.0,34,1,0.4955357142857143
1079,VALE,34,268,234.0,34.0,58,1,0.8731343283582089
190,CCL,34,164,123.0,41.0,42,1,0.75
