,Symbol,u_cnt,cnt,call,put,recent_7,if,call_ratio
556,JCI,2,5,5.0,,3,0,1.0
1141,WPRT,2,2,1.0,1.0,0,0,0.5
560,JKS,2,2,2.0,,0,0,1.0
1139,WPG,2,2,1.0,1.0,0,0,0.5
1137,WOOF,2,2,,2.0,0,0,
708,NAT,2,3,3.0,,0,0,1.0
567,K,2,4,2.0,2.0,4,1,0.5
748,NUAN,2,3,2.0,1.0,3,1,0.6666666666666666
743,NSC,2,3,3.0,,1,0,1.0
892,RRR,2,3,3.0,,1,0,1.0
745,NTES,2,2,1.0,1.0,2,0,0.5
1130,WIX,2,2,1.0,1.0,0,0,0.5
840,PSXP,2,6,6.0,,6,1,1.0
573,KEYS,2,3,,3.0,0,0,
851,QRTEA,2,2,1.0,1.0,2,1,0.5
746,NTNX,2,4,4.0,,0,0,1.0
902,SAND,2,5,4.0,1.0,1,0,0.8
576,KIM,2,2,,2.0,1,0,
899,RY,2,2,1.0,1.0,0,0,0.5
648,MAT,2,2,1.0,1.0,0,0,0.5
956,SPR,2,2,2.0,,0,0,1.0
858,RBAC,2,5,3.0,2.0,0,0,0.6
507,HSBC,2,9,9.0,,2,0,1.0
508,HST,2,3,,3.0,1,0,
1178,ZS,2,2,1.0,1.0,1,1,0.5
1173,ZGNX,2,3,3.0,,0,0,1.0
510,HUM,2,2,2.0,,0,0,1.0
873,RGLD,2,4,2.0,2.0,2,0,0.5
867,REI,2,19,19.0,,0,0,1.0
1000,TEN,2,2,1.0,1.0,0,0,0.5
733,NMTR,2,2,2.0,,0,0,1.0
1006,THBR,2,3,3.0,,0,0,1.0
1008,THO,2,8,8.0,,0,0,1.0
1127,WEX,2,2,2.0,,0,0,1.0
991,TAP,2,2,1.0,1.0,1,1,0.5
862,RDFN,2,3,,3.0,2,1,
529,IMVT,2,2,2.0,,0,0,1.0
886,ROIC,2,2,2.0,,0,0,1.0
1157,XLRN,2,3,1.0,2.0,0,0,0.3333333333333333
887,ROKU,2,5,3.0,2.0,0,0,0.6
1154,XERS,2,2,2.0,,0,0,1.0
774,OPK,2,3,2.0,1.0,0,0,0.6666666666666666
860,RCII,2,5,4.0,1.0,0,0,0.8
537,IP,2,4,2.0,2.0,0,0,0.5
717,NEWR,2,2,2.0,,1,0,1.0
712,NCNO,2,2,,2.0,0,0,
720,NG,2,2,2.0,,0,0,1.0
738,NOVA,2,2,2.0,,1,1,1.0
698,MTG,2,4,2.0,2.0,0,0,0.5
1056,UBS,2,11,10.0,1.0,0,0,0.9090909090909091
674,MIK,2,3,3.0,,2,1,1.0
755,NVTA,2,6,3.0,3.0,0,0,0.5
756,NWL,2,2,1.0,1.0,0,0,0.5
939,SNE,2,2,1.0,1.0,0,0,0.5
671,MGY,2,2,1.0,1.0,0,0,0.5
802,PEIX,2,2,2.0,,0,0,1.0
940,SNOW,2,2,2.0,,1,0,1.0
800,PEG,2,2,1.0,1.0,0,0,0.5
1039,TTCF,2,2,1.0,1.0,0,0,0.5
798,PDAC,2,3,3.0,,2,0,1.0
942,SNSS,2,2,,2.0,0,0,
1068,UNVR,2,4,4.0,,3,0,1.0
1066,UNM,2,2,,2.0,0,0,
795,PCAR,2,7,6.0,1.0,0,0,0.8571428571428571
791,PAYA,2,2,2.0,,1,0,1.0
625,LOTZ,2,2,2.0,,0,0,1.0
627,LPG,2,4,2.0,2.0,4,0,0.5
978,STX,2,2,2.0,,0,0,1.0
1064,UNH,2,2,,2.0,0,0,
667,MGI,2,2,2.0,,0,0,1.0
663,MESA,2,5,5.0,,1,0,1.0
953,SPGI,2,3,2.0,1.0,2,1,0.6666666666666666
759,NXPI,2,2,2.0,,1,0,1.0
730,NLS,2,3,3.0,,2,0,1.0
608,LEVI,2,4,3.0,1.0,0,0,0.75
980,SUI,2,2,,2.0,2,0,
606,LEN,2,3,3.0,,0,0,1.0
582,KMPH,2,3,3.0,,2,0,1.0
1028,TRIT,2,2,1.0,1.0,0,0,0.5
912,SEE,2,6,3.0,3.0,0,0,0.5
1058,UEC,2,3,1.0,2.0,0,0,0.3333333333333333
830,PRTS,2,2,1.0,1.0,1,1,0.5
584,KNDI,2,2,1.0,1.0,0,0,0.5
680,MNSO,2,2,,2.0,1,0,
1111,VUZI,2,2,2.0,,0,0,1.0
976,STT,2,2,,2.0,0,0,
828,PRPB,2,3,3.0,,0,0,1.0
827,PRMW,2,5,5.0,,0,0,1.0
1126,WES,2,2,2.0,,0,0,1.0
679,MNKD,2,2,,2.0,1,0,
1107,VST,2,2,1.0,1.0,2,0,0.5
591,KRC,2,2,2.0,,1,0,1.0
985,SWN,2,2,1.0,1.0,0,0,0.5
1031,TRQ,2,2,2.0,,1,1,1.0
676,MIST,2,3,3.0,,2,0,1.0
818,PLNT,2,2,2.0,,0,0,1.0
929,SLF,2,4,2.0,2.0,0,0,0.5
815,PLCE,2,2,1.0,1.0,1,1,0.5
814,PLAY,2,4,3.0,1.0,0,0,0.75
932,SLQT,2,2,1.0,1.0,0,0,0.5
1091,VIH,2,2,2.0,,1,1,1.0
1180,ZUO,2,4,3.0,1.0,1,0,0.75
609,LFMD,2,3,2.0,1.0,3,0,0.6666666666666666
590,KRA,2,3,3.0,,0,0,1.0
182,CAT,2,3,2.0,1.0,0,0,0.6666666666666666
417,FRX,2,4,2.0,2.0,1,1,0.5
299,DBI,2,2,1.0,1.0,0,0,0.5
129,BFLY,2,3,3.0,,2,1,1.0
48,AL,2,4,,4.0,0,0,
420,FSM,2,2,1.0,1.0,0,0,0.5
425,FTI,2,5,4.0,1.0,0,0,0.8
132,BGFV,2,2,,2.0,0,0,
133,BGS,2,3,1.0,2.0,1,0,0.3333333333333333
288,CYRX,2,3,1.0,2.0,0,0,0.3333333333333333
287,CYH,2,4,4.0,,1,1,1.0
127,BEPC,2,2,,2.0,0,0,
286,CXW,2,3,,3.0,0,0,
434,GDRX,2,2,,2.0,1,0,
363,EQX,2,2,2.0,,1,0,1.0
42,AIG,2,2,2.0,,1,0,1.0
36,AGO,2,2,2.0,,1,0,1.0
273,CSIQ,2,2,2.0,,1,0,1.0
271,CS,2,4,1.0,3.0,1,1,0.25
151,BMRN,2,2,1.0,1.0,1,0,0.5
156,BNTX,2,2,2.0,,0,0,1.0
245,COOP,2,2,,2.0,1,0,
241,COF,2,4,4.0,,3,0,1.0
432,GD,2,2,2.0,,0,0,1.0
239,CNR,2,3,3.0,,0,0,1.0
308,DHI,2,3,3.0,,1,0,1.0
315,DKS,2,2,2.0,,0,0,1.0
370,ESPR,2,2,,2.0,0,0,
76,API,2,3,2.0,1.0,0,0,0.6666666666666666
83,ARVN,2,6,2.0,4.0,6,1,0.3333333333333333
71,ANTM,2,2,2.0,,1,0,1.0
376,ETWO,2,2,2.0,,0,0,1.0
377,EVH,2,2,1.0,1.0,0,0,0.5
353,ENDP,2,4,2.0,2.0,0,0,0.5
351,EMR,2,3,2.0,1.0,0,0,0.6666666666666666
84,ASH,2,2,,2.0,0,0,
85,ASO,2,4,3.0,1.0,0,0,0.75
56,ALXN,2,5,2.0,3.0,2,0,0.4
348,ELF,2,4,4.0,,2,0,1.0
337,EA,2,2,2.0,,0,0,1.0
101,AVYA,2,3,2.0,1.0,0,0,0.6666666666666666
331,DUK,2,2,2.0,,0,0,1.0
