,Symbol,Expiration,Size,Strike,Spot,Received,dt,Type,Cap,diff,today
104,X,2021/06/18,$257.40K,35.0,23.0,2021/01/14 00:53,20210113,Call,257.4,136,98
105,BBD,2021/03/19,$86.12K,5.0,5.03,2021/01/14 00:53,20210113,Put,86.12,45,7
106,PAAS,2021/04/16,$90.06K,25.0,32.75,2021/01/14 00:53,20210113,Put,90.06,73,35
107,TAK,2021/04/16,$1.61M,17.5,18.03,2021/01/14 00:44,20210113,Put,1610.0,73,35
108,SWCH,2021/05/21,$157.50K,18.0,17.1,2021/01/14 00:36,20210113,Call,157.5,108,70
109,AMT,2021/04/16,$453.26K,190.0,215.67,2021/01/14 00:35,20210113,Put,453.26,73,35
110,GOGO,2021/05/21,$181.04K,14.0,11.36,2021/01/14 00:34,20210113,Call,181.04,108,70
111,DISH,2022/01/21,$3.81M,35.0,32.99,2021/01/14 00:32,20210113,Call,3810.0,353,315
112,DISH,2022/01/21,$965.09K,60.0,32.99,2021/01/14 00:32,20210113,Call,965.09,353,315
113,MET,2022/01/21,$243.00K,65.0,50.11,2021/01/14 00:31,20210113,Call,243.0,353,315
114,SMED,2021/08/20,$90.00K,7.5,11.11,2021/01/14 00:30,20210113,Put,90.0,199,161
115,PEIX,2021/04/16,$115.00K,10.0,8.01,2021/01/14 00:29,20210113,Call,115.0,73,35
116,GE,2022/01/21,$330.00K,20.0,11.57,2021/01/14 00:26,20210113,Call,330.0,353,315
117,PNC,2022/01/21,$680.00K,190.0,159.07,2021/01/14 00:22,20210113,Call,680.0,353,315
118,SLB,2021/03/19,$493.61K,25.0,25.52,2021/01/14 00:21,20210113,Call,493.61,45,7
119,FSR,2021/05/21,$420.00K,25.0,16.26,2021/01/14 00:19,20210113,Call,420.0,108,70
120,BHC,2021/04/16,$220.20K,30.0,25.0,2021/01/14 00:18,20210113,Call,220.2,73,35
121,BFT,2021/04/16,$867.00K,20.0,15.49,2021/01/14 00:15,20210113,Call,867.0,73,35
122,BFT,2021/04/16,$408.00K,15.0,15.49,2021/01/14 00:15,20210113,Put,408.0,73,35
123,BFT,2021/04/16,$367.20K,30.0,15.49,2021/01/14 00:15,20210113,Call,367.2,73,35
124,AAL,2021/05/21,$120.00K,10.0,15.19,2021/01/14 00:15,20210113,Put,120.0,108,70
