Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
Longview Acquisition Corp.,LGVW,Buy,Filled,40,40,@16.00,16.00,DAY,12/03/2020 10:41:44 EST,12/03/2020 11:13:17 EST
Academy Sports & Outdoors  Inc.,ASO,Sell,Filled,20,20,@16.05,16.05,DAY,12/03/2020 10:28:34 EST,12/03/2020 10:28:35 EST
Tuscan Holdings Corp,THCB,Buy,Filled,40,40,@11.60,11.60,DAY,12/03/2020 10:22:32 EST,12/03/2020 10:22:44 EST
Tuscan Holdings Corp,THCB,Buy,Filled,40,40,@11.58,11.58,DAY,12/03/2020 10:20:06 EST,12/03/2020 10:20:32 EST
Workhorse Group,WKHS,Sell,Filled,33,33,@20.96,20.96,DAY,12/03/2020 10:15:42 EST,12/03/2020 10:15:43 EST
Shift4 Payments  Inc.,FOUR,Buy,Filled,10,10,@60.00,60.00,DAY,12/03/2020 10:09:14 EST,12/03/2020 10:09:29 EST
Tuscan Holdings Corp,THCB,Buy,Filled,70,70,@11.31,11.31,DAY,12/02/2020 10:31:53 EST,12/02/2020 10:31:54 EST
Fisker Inc,FSR,Buy,Filled,4,4,@17.29,17.29,DAY,12/02/2020 10:22:44 EST,12/02/2020 10:22:45 EST
Tattooed Chef  Inc.,TTCF,Buy,Cancelled,0,5,@15.10,,DAY,12/02/2020 10:07:08 EST,
Niu Technologies,NIU,Buy,Filled,4,4,@28.08,28.08,DAY,12/02/2020 09:59:05 EST,12/02/2020 09:59:50 EST
Digital Turbine,APPS,Buy,Filled,15,15,@41.22,41.22,DAY,12/02/2020 09:54:24 EST,12/02/2020 10:55:10 EST
American Well Corp,AMWL,Buy,Cancelled,0,5,@24.20,,DAY,12/02/2020 09:49:51 EST,
Fluidigm,FLDM,Sell,Filled,80,80,@6.20,6.20,GTC,12/02/2020 09:34:07 EST,12/02/2020 09:45:33 EST
Fluidigm,FLDM,Sell,Cancelled,0,80,@6.97,,GTC,12/02/2020 09:34:07 EST,
Workhorse Group,WKHS,Sell,Filled,35,35,@19.42,19.42,DAY,12/01/2020 19:40:01 EST,12/01/2020 19:40:01 EST
CENTRUS ENERGY,LEU,Sell,Filled,35,35,@14.01,14.01,GTC,12/01/2020 13:09:18 EST,12/02/2020 09:30:19 EST
CENTRUS ENERGY,LEU,Sell,Cancelled,0,35,@15.80,,GTC,12/01/2020 13:09:18 EST,
Romeo Power Inc,RMO,Buy,Filled,40,40,@15.96,15.96,DAY,12/01/2020 12:30:36 EST,12/01/2020 12:30:37 EST
Rekor Systems Inc,REKR,Sell,Cancelled,0,100,4.40,,GTC,12/01/2020 11:56:45 EST,
Rekor Systems Inc,REKR,Sell,Cancelled,0,100,@4.99,,GTC,12/01/2020 11:56:45 EST,
BigCommerce Holdings  Inc.,BIGC,Buy,Filled,2,2,@77.29,77.29,DAY,12/01/2020 10:54:48 EST,12/01/2020 11:07:21 EST
LITHIUM AMERS,LAC,Sell,Filled,50,50,@11.00,11.00,GTC,12/01/2020 10:20:37 EST,12/02/2020 09:30:16 EST
LITHIUM AMERS,LAC,Sell,Cancelled,0,50,@12.62,,GTC,12/01/2020 10:20:37 EST,
GigCapital3,GIK,Sell,Filled,25,25,@12.00,12.00,DAY,12/01/2020 10:08:08 EST,12/01/2020 10:13:02 EST
Hyliion Holdings Corporation,HYLN,Sell,Filled,30,30,@19.72,19.72,DAY,12/01/2020 10:05:44 EST,12/01/2020 10:06:04 EST
Fisker Inc,FSR,Sell,Filled,15,15,@19.06,19.06,DAY,12/01/2020 09:55:21 EST,12/01/2020 09:55:22 EST
Luminar Technologies Inc,LAZR,Sell,Filled,15,15,@16.69,16.69,DAY,12/01/2020 09:52:48 EST,12/01/2020 09:52:49 EST
Shift4 Payments  Inc.,FOUR,Buy,Filled,10,10,@57.73,57.73,DAY,12/01/2020 09:41:14 EST,12/01/2020 09:41:16 EST
Fisker Inc,FSR,Buy,Filled,40,40,@19.90,19.90,DAY,12/01/2020 07:14:38 EST,12/01/2020 07:52:21 EST
Luminar Technologies Inc,LAZR,Sell,Filled,15,15,@19.80,19.80,DAY,12/01/2020 06:47:21 EST,12/01/2020 06:49:50 EST
GrubHub,GRUB,Buy,Filled,2,2,@70.60,70.60,DAY,11/30/2020 11:29:08 EST,11/30/2020 11:29:17 EST
GigCapital3,GIK,Sell,Cancelled,0,25,11.76,,GTC,11/30/2020 10:57:58 EST,
GigCapital3,GIK,Sell,Cancelled,0,25,@13.37,,GTC,11/30/2020 10:57:58 EST,
GigCapital3,GIK,Sell,Filled,15,15,@12.12,12.12,DAY,11/30/2020 10:56:49 EST,11/30/2020 10:56:53 EST
GigCapital3,GIK,Sell,Filled,40,40,@12.55,12.55,DAY,11/30/2020 10:32:49 EST,11/30/2020 10:33:31 EST
Fluidigm,FLDM,Buy,Filled,80,80,@6.29,6.29,DAY,11/30/2020 10:30:55 EST,11/30/2020 10:36:39 EST
Bloom Energy,BE,Sell,Filled,7,7,@24.59,24.59,DAY,11/30/2020 10:22:52 EST,11/30/2020 10:24:07 EST
LITHIUM AMERS,LAC,Sell,Cancelled,0,20,10.50,,GTC,11/30/2020 09:56:56 EST,
LITHIUM AMERS,LAC,Sell,Cancelled,0,20,@12.67,,GTC,11/30/2020 09:56:56 EST,
Revolve Group,RVLV,Sell,Cancelled,0,20,21.00,,GTC,11/30/2020 09:54:03 EST,
Revolve Group,RVLV,Sell,Cancelled,0,20,@24.97,,GTC,11/30/2020 09:54:03 EST,
Alto Ingredients Inc,ALTO,Sell,Filled,60,60,@6.67,6.67,DAY,11/30/2020 09:50:37 EST,11/30/2020 09:50:41 EST
Luminar Technologies Inc,LAZR,Sell,Filled,20,20,@16.21,16.21,GTC,11/30/2020 09:47:08 EST,11/30/2020 09:51:59 EST
Luminar Technologies Inc,LAZR,Sell,Cancelled,0,20,@18.29,,GTC,11/30/2020 09:47:08 EST,
Revolve Group,RVLV,Sell,Filled,10,10,@23.35,23.35,DAY,11/30/2020 09:44:32 EST,11/30/2020 09:44:40 EST
GigCapital3,GIK,Sell,Filled,30,30,@13.00,13.00,GTC,11/30/2020 09:40:08 EST,11/30/2020 09:53:11 EST
GigCapital3,GIK,Sell,Cancelled,0,30,@14.79,,GTC,11/30/2020 09:40:08 EST,
VAXART,VXRT,Sell,Filled,50,50,@7.10,7.10,GTC,11/30/2020 09:38:15 EST,12/02/2020 09:32:27 EST
VAXART,VXRT,Sell,Cancelled,0,50,@8.44,,GTC,11/30/2020 09:38:15 EST,
GigCapital3,GIK,Sell,Filled,40,40,@12.25,12.25,DAY,11/27/2020 11:52:36 EST,11/27/2020 11:53:20 EST
Bloom Energy,BE,Sell,Filled,5,5,@24.81,24.81,DAY,11/27/2020 11:49:07 EST,11/27/2020 11:49:08 EST
VAXART,VXRT,Buy,Filled,50,50,@7.12,7.12,DAY,11/27/2020 11:43:47 EST,11/27/2020 11:44:17 EST
CENTRUS ENERGY,LEU,Sell,Cancelled,0,35,11.00,,GTC,11/27/2020 11:36:02 EST,
CENTRUS ENERGY,LEU,Sell,Cancelled,0,35,@13.23,,GTC,11/27/2020 11:36:02 EST,
Bloom Energy,BE,Sell,Filled,8,8,@26.36,26.36,DAY,11/27/2020 11:33:13 EST,11/27/2020 11:33:19 EST
CENTRUS ENERGY,LEU,Sell,Cancelled,0,35,@12.25,,DAY,11/27/2020 11:32:11 EST,
CENTRUS ENERGY,LEU,Sell,Filled,25,25,@13.10,13.10,DAY,11/27/2020 10:42:34 EST,11/27/2020 10:43:08 EST
LiveRamp,RAMP,Buy,Filled,10,10,@58.50,58.50,DAY,11/27/2020 10:39:55 EST,11/27/2020 10:49:48 EST
Voxx Internatrnl,VOXX,Sell,Filled,45,45,@12.75,12.75,DAY,11/27/2020 10:21:47 EST,11/27/2020 10:31:06 EST
Livexlive Media,LIVX,Sell,Cancelled,0,200,2.20,,GTC,11/27/2020 10:06:17 EST,
Livexlive Media,LIVX,Sell,Cancelled,0,200,@2.61,,GTC,11/27/2020 10:06:17 EST,
GigCapital3,GIK,Buy,Filled,50,50,@11.66,11.66,DAY,11/27/2020 09:58:03 EST,11/27/2020 09:58:17 EST
American Well Corp,AMWL,Buy,Filled,30,30,@24.77,24.77,DAY,11/25/2020 10:59:26 EST,11/25/2020 10:59:55 EST
Workhorse Group,WKHS,Sell,Filled,30,30,@25.60,25.60,GTC,11/25/2020 10:05:26 EST,11/30/2020 10:30:24 EST
Workhorse Group,WKHS,Sell,Cancelled,0,30,@29.23,,GTC,11/25/2020 10:05:26 EST,
Academy Sports & Outdoors  Inc.,ASO,Sell,Filled,15,15,@16.28,16.28,GTC,11/25/2020 09:39:56 EST,11/25/2020 10:07:08 EST
Academy Sports & Outdoors  Inc.,ASO,Sell,Cancelled,0,15,@18.30,,GTC,11/25/2020 09:39:56 EST,
Sally Beauty,SBH,Sell,Filled,50,50,@11.84,11.84,DAY,11/25/2020 09:34:53 EST,11/25/2020 09:34:53 EST
SVMK (SurveyMonkey),SVMK,Sell,Filled,25,25,@20.40,20.40,DAY,11/24/2020 12:47:54 EST,11/24/2020 12:50:00 EST
Academy Sports & Outdoors  Inc.,ASO,Buy,Filled,35,35,@16.72,16.72,DAY,11/24/2020 10:48:04 EST,11/24/2020 10:48:05 EST
Rekor Systems Inc,REKR,Sell,Filled,50,50,@4.55,4.55,DAY,11/24/2020 10:30:30 EST,11/24/2020 10:31:26 EST
Luminar Technologies Inc,LAZR,Sell,Cancelled,0,20,12.80,,GTC,11/24/2020 10:20:21 EST,
Luminar Technologies Inc,LAZR,Sell,Cancelled,0,20,@20.00,,GTC,11/24/2020 10:20:21 EST,
CENTRUS ENERGY,LEU,Buy,Filled,60,60,@10.84,10.84,DAY,11/24/2020 10:15:02 EST,11/24/2020 10:16:52 EST
Voxx Internatrnl,VOXX,Sell,Filled,25,25,@13.02,13.02,DAY,11/24/2020 09:50:19 EST,11/24/2020 09:50:20 EST
CleanSpark,CLSK,Sell,Filled,30,30,@10.20,10.20,GTC,11/24/2020 09:48:55 EST,11/24/2020 13:54:45 EST
Hyliion Holdings Corporation,HYLN,Sell,Filled,15,15,@25.35,25.35,DAY,11/24/2020 09:45:08 EST,11/24/2020 09:45:08 EST
Workhorse Group,WKHS,Sell,Filled,15,15,@27.45,27.45,DAY,11/24/2020 09:40:35 EST,11/24/2020 09:41:22 EST
Niu Technologies,NIU,Sell,Filled,10,10,@36.44,36.44,DAY,11/24/2020 09:39:33 EST,11/24/2020 09:39:35 EST
iClick,ICLK,Buy,Filled,70,70,@7.52,7.52,DAY,11/23/2020 13:09:47 EST,11/23/2020 13:09:48 EST
Livexlive Media,LIVX,Buy,Filled,300,300,@2.22,2.22,DAY,11/23/2020 12:55:23 EST,11/23/2020 12:55:24 EST
Rekor Systems Inc,REKR,Buy,Filled,150,150,@4.59,4.59,DAY,11/23/2020 12:25:24 EST,11/23/2020 12:35:12 EST
Lordstown Motors,RIDE,Sell,Filled,5,5,@28.45,28.45,DAY,11/23/2020 11:04:00 EST,11/23/2020 11:04:03 EST
Beam Global,BEEM,Sell,Filled,10,10,@33.66,33.66,GTC,11/23/2020 11:01:54 EST,11/23/2020 11:51:51 EST
Beam Global,BEEM,Sell,Cancelled,0,10,@40.14,,GTC,11/23/2020 11:01:54 EST,
Niu Technologies,NIU,Buy,Filled,4,4,@30.85,30.85,DAY,11/23/2020 10:32:19 EST,11/23/2020 10:33:24 EST
YOUDAO  INC.,DAO,Sell,Filled,10,10,@30.50,30.50,DAY,11/23/2020 10:21:11 EST,11/23/2020 13:01:51 EST
GigCapital3,GIK,Buy,Filled,100,100,@10.75,10.75,DAY,11/23/2020 10:20:19 EST,11/23/2020 10:20:20 EST
BigCommerce Holdings  Inc.,BIGC,Buy,Filled,12,12,@71.71,71.71,DAY,11/23/2020 10:02:53 EST,11/23/2020 10:04:09 EST
Sunworks,SUNW,Sell,Filled,50,50,@6.15,6.15,GTC,11/23/2020 10:00:04 EST,11/24/2020 10:18:39 EST
Sunworks,SUNW,Sell,Cancelled,0,50,@7.25,,GTC,11/23/2020 10:00:04 EST,
Beam Global,BEEM,Sell,Cancelled,0,10,28.00,,GTC,11/23/2020 09:55:41 EST,
Beam Global,BEEM,Sell,Cancelled,0,10,@34.68,,GTC,11/23/2020 09:55:41 EST,
VAXART,VXRT,Sell,Filled,50,50,@6.50,6.50,GTC,11/23/2020 09:37:29 EST,11/24/2020 09:44:18 EST
VAXART,VXRT,Sell,Cancelled,0,50,@6.90,,GTC,11/23/2020 09:37:29 EST,
LITHIUM AMERS,LAC,Sell,Cancelled,0,20,@10.80,,DAY,11/20/2020 13:51:22 EST,
Beam Global,BEEM,Sell,Filled,5,5,@25.43,25.43,DAY,11/20/2020 13:44:38 EST,11/20/2020 13:45:26 EST
Sally Beauty,SBH,Buy,Filled,50,50,@10.51,10.51,DAY,11/20/2020 13:43:59 EST,11/20/2020 13:44:01 EST
Personalis,PSNL,Buy,Cancelled,0,18,@30.60,,DAY,11/20/2020 13:20:24 EST,
VAXART,VXRT,Sell,Filled,30,30,@6.36,6.36,DAY,11/20/2020 13:13:00 EST,11/20/2020 13:13:01 EST
SVMK (SurveyMonkey),SVMK,Buy,Filled,25,25,@21.17,21.17,DAY,11/20/2020 12:40:49 EST,11/20/2020 12:40:49 EST
YOUDAO  INC.,DAO,Buy,Filled,10,10,@30.65,30.65,DAY,11/20/2020 12:19:41 EST,11/20/2020 12:20:18 EST
CleanSpark,CLSK,Buy,Filled,30,30,@10.18,10.18,DAY,11/20/2020 12:06:57 EST,11/20/2020 12:19:48 EST
Sunworks,SUNW,Sell,Filled,20,20,@5.26,5.26,DAY,11/20/2020 11:51:52 EST,11/20/2020 11:51:53 EST
Hyliion Holdings Corporation,HYLN,Buy,Filled,10,10,@25.34,25.34,DAY,11/20/2020 11:34:09 EST,11/20/2020 11:34:09 EST
Voxx Internatrnl,VOXX,Buy,Filled,20,20,@11.50,11.50,DAY,11/20/2020 10:46:08 EST,11/20/2020 10:46:09 EST
Sunworks,SUNW,Sell,Filled,40,40,@5.67,5.67,DAY,11/20/2020 10:36:18 EST,11/20/2020 10:36:31 EST
CleanSpark,CLSK,Sell,Filled,30,30,@10.14,10.14,DAY,11/20/2020 10:09:22 EST,11/20/2020 10:09:23 EST
Niu Technologies,NIU,Buy,Filled,15,15,@37.10,37.10,DAY,11/20/2020 09:43:38 EST,11/20/2020 09:43:44 EST
YOUDAO  INC.,DAO,Sell,Filled,56,56,@28.70,28.70,DAY,11/20/2020 09:34:01 EST,11/20/2020 09:34:01 EST
Velodyne Lidar Inc,VLDR,Buy,Filled,20,20,@16.85,16.85,DAY,11/20/2020 08:52:04 EST,11/20/2020 08:52:05 EST
Velodyne Lidar Inc,VLDR,Buy,Cancelled,0,20,@16.85,,DAY,11/20/2020 08:51:43 EST,
Luminar Technologies Inc,LAZR,Buy,Filled,50,50,@10.78,10.78,DAY,11/20/2020 08:48:00 EST,11/20/2020 08:48:00 EST
Bloom Energy,BE,Buy,Filled,20,20,@19.40,19.40,DAY,11/19/2020 12:16:31 EST,11/19/2020 12:16:55 EST
Sunworks,SUNW,Sell,Cancelled,0,30,4.07,,GTC,11/19/2020 12:06:07 EST,
Sunworks,SUNW,Sell,Cancelled,0,30,@4.74,,GTC,11/19/2020 12:06:07 EST,
Hyliion Holdings Corporation,HYLN,Buy,Filled,20,20,@25.32,25.32,DAY,11/19/2020 11:55:24 EST,11/19/2020 11:55:25 EST
DraftKings Inc,DKNG,Sell,Filled,6,6,@48.74,48.74,DAY,11/19/2020 11:40:55 EST,11/19/2020 11:41:11 EST
Hyliion Holdings Corporation,HYLN,Buy,Filled,40,40,@25.35,25.35,DAY,11/19/2020 11:02:38 EST,11/19/2020 11:03:06 EST
Switchback Energy Acquisition Corp,SBE,Buy,Cancelled,0,20,@21.34,,DAY,11/19/2020 10:44:06 EST,
LITHIUM AMERS,LAC,Buy,Filled,50,50,@11.05,11.05,DAY,11/19/2020 10:14:06 EST,11/19/2020 10:15:11 EST
YOUDAO  INC.,DAO,Sell,Filled,40,40,@27.50,27.50,DAY,11/19/2020 09:45:24 EST,11/19/2020 09:57:33 EST
Tattooed Chef  Inc.,TTCF,Sell,Filled,15,15,@15.55,15.55,DAY,11/19/2020 09:33:03 EST,11/19/2020 09:33:04 EST
Lordstown Motors,RIDE,Sell,Filled,15,15,@27.60,27.60,GTC,11/18/2020 12:30:56 EST,11/18/2020 13:54:35 EST
Lordstown Motors,RIDE,Sell,Cancelled,0,15,@31.84,,GTC,11/18/2020 12:30:56 EST,
Velodyne Lidar Inc,VLDR,Sell,Filled,10,10,@15.81,15.81,DAY,11/18/2020 11:52:59 EST,11/18/2020 11:53:05 EST
Kandi Tech Grp,KNDI,Buy,Cancelled,0,30,@10.50,,DAY,11/18/2020 11:33:21 EST,
Revolve Group,RVLV,Buy,Filled,30,30,@20.00,20.00,DAY,11/18/2020 10:59:59 EST,11/18/2020 11:03:07 EST
ANGI,ANGI,Sell,Filled,40,40,@10.55,10.55,DAY,11/18/2020 10:29:44 EST,11/18/2020 10:29:45 EST
VAXART,VXRT,Sell,Cancelled,0,50,5.30,,GTC,11/18/2020 10:15:06 EST,
VAXART,VXRT,Sell,Cancelled,0,50,@6.17,,GTC,11/18/2020 10:15:06 EST,
VAXART,VXRT,Buy,Filled,80,80,@5.62,5.62,DAY,11/18/2020 10:14:10 EST,11/18/2020 10:14:10 EST
AYRO  Inc.,AYRO,Sell,Filled,40,40,@4.70,4.70,GTC,11/18/2020 10:05:40 EST,11/19/2020 09:38:51 EST
Lordstown Motors,RIDE,Sell,Cancelled,0,15,25.06,,GTC,11/18/2020 09:02:23 EST,
Lordstown Motors,RIDE,Sell,Cancelled,0,15,@28.27,,GTC,11/18/2020 09:02:23 EST,
YOUDAO  INC.,DAO,Buy,Filled,5,5,@26.15,26.15,DAY,11/17/2020 11:51:14 EST,11/17/2020 11:51:14 EST
Tattooed Chef  Inc.,TTCF,Buy,Filled,6,6,@16.99,16.99,DAY,11/17/2020 11:41:04 EST,11/17/2020 11:41:04 EST
Velodyne Lidar Inc,VLDR,Buy,Filled,30,30,@16.45,16.45,DAY,11/17/2020 10:10:30 EST,11/17/2020 11:10:17 EST
Beam Global,BEEM,Sell,Filled,20,20,@20.60,20.60,GTC,11/17/2020 09:59:42 EST,11/18/2020 09:42:12 EST
Beam Global,BEEM,Sell,Cancelled,0,20,@23.96,,GTC,11/17/2020 09:59:42 EST,
Westport Fuel,WPRT,Sell,Filled,150,150,@3.02,3.02,GTC,11/17/2020 09:40:33 EST,11/19/2020 10:27:08 EST
Westport Fuel,WPRT,Sell,Cancelled,0,150,@3.06,,GTC,11/17/2020 09:40:33 EST,
Sunworks,SUNW,Sell,Cancelled,0,110,3.34,,GTC,11/17/2020 09:27:08 EST,
Sunworks,SUNW,Sell,Cancelled,0,110,@5.00,,GTC,11/17/2020 09:27:08 EST,
Sunworks,SUNW,Sell,Cancelled,0,20,@3.78,,DAY,11/17/2020 07:26:47 EST,
ACM Rsrch,ACMR,Sell,Filled,8,8,@81.89,81.89,DAY,11/16/2020 10:44:06 EST,11/16/2020 10:44:06 EST
Lordstown Motors,RIDE,Buy,Filled,20,20,@19.45,19.45,DAY,11/16/2020 10:38:50 EST,11/16/2020 10:38:50 EST
Sunworks,SUNW,Sell,Filled,40,40,@3.56,3.56,GTC,11/16/2020 10:21:52 EST,11/16/2020 10:28:30 EST
Sunworks,SUNW,Sell,Cancelled,0,40,@4.14,,GTC,11/16/2020 10:21:52 EST,
Switchback Energy Acquisition Corp,SBE,Sell,Filled,30,30,@16.98,16.98,DAY,11/16/2020 10:02:26 EST,11/16/2020 10:02:26 EST
INFRASTRUCTURE A,IEA,Sell,Filled,40,40,@12.08,12.08,GTC,11/16/2020 10:00:54 EST,11/18/2020 12:13:00 EST
INFRASTRUCTURE A,IEA,Sell,Cancelled,0,40,@12.73,,GTC,11/16/2020 10:00:54 EST,
ACM Rsrch,ACMR,Sell,Cancelled,0,8,81.00,,GTC,11/16/2020 09:34:31 EST,
ACM Rsrch,ACMR,Sell,Cancelled,0,8,@92.36,,GTC,11/16/2020 09:34:31 EST,
ANGI,ANGI,Buy,Filled,40,40,@10.53,10.53,DAY,11/13/2020 12:34:54 EST,11/13/2020 12:34:55 EST
DraftKings Inc,DKNG,Sell,Filled,5,5,@42.50,42.50,DAY,11/13/2020 12:33:11 EST,11/13/2020 12:33:18 EST
YOUDAO  INC.,DAO,Buy,Filled,5,5,@26.15,26.15,DAY,11/13/2020 12:18:20 EST,11/13/2020 12:18:21 EST
Westport Fuel,WPRT,Buy,Filled,150,150,@2.64,2.64,DAY,11/13/2020 11:20:17 EST,11/13/2020 11:21:03 EST
Workhorse Group,WKHS,Buy,Filled,5,5,@19.02,19.02,DAY,11/13/2020 11:14:04 EST,11/13/2020 11:14:11 EST
Voxx Internatrnl,VOXX,Sell,Cancelled,0,25,10.00,,GTC,11/13/2020 11:07:30 EST,
Voxx Internatrnl,VOXX,Sell,Cancelled,0,25,@11.94,,GTC,11/13/2020 11:07:30 EST,
INFRASTRUCTURE A,IEA,Buy,Filled,40,40,@11.38,11.38,DAY,11/13/2020 10:08:28 EST,11/13/2020 10:28:28 EST
ReneSola,SOL,Buy,Cancelled,0,100,@4.35,,DAY,11/13/2020 09:50:41 EST,
DraftKings Inc,DKNG,Buy,Filled,3,3,@46.30,46.30,DAY,11/13/2020 08:51:46 EST,11/13/2020 08:51:47 EST
DraftKings Inc,DKNG,Buy,Filled,3,3,@46.25,46.25,DAY,11/13/2020 08:40:41 EST,11/13/2020 08:40:47 EST
DraftKings Inc,DKNG,Buy,Cancelled,0,3,@46.10,,DAY,11/13/2020 08:40:15 EST,
Workhorse Group,WKHS,Buy,Filled,10,10,@20.15,20.15,DAY,11/12/2020 10:35:10 EST,11/12/2020 10:35:11 EST
ACM Rsrch,ACMR,Sell,Filled,7,7,@90.00,90.00,DAY,11/12/2020 09:40:04 EST,11/12/2020 09:40:04 EST
Aspen Group Inc,ASPU,Sell,Filled,50,50,@10.63,10.63,GTC,11/11/2020 10:21:41 EST,11/12/2020 13:13:57 EST
Alto Ingredients Inc,ALTO,Buy,Filled,10,10,@6.10,6.10,DAY,11/11/2020 09:42:07 EST,11/11/2020 09:43:22 EST
YOUDAO  INC.,DAO,Buy,Filled,5,5,@24.15,24.15,DAY,11/11/2020 09:39:25 EST,11/11/2020 09:41:13 EST
ACM Rsrch,ACMR,Sell,Cancelled,0,2,@83.80,,DAY,11/10/2020 19:26:36 EST,
YOUDAO  INC.,DAO,Buy,Filled,5,5,@25.48,25.48,DAY,11/10/2020 11:31:16 EST,11/10/2020 11:31:28 EST
ACM Rsrch,ACMR,Buy,Filled,2,2,@86.50,86.50,DAY,11/10/2020 10:31:33 EST,11/10/2020 10:34:12 EST
ACM Rsrch,ACMR,Sell,Cancelled,0,7,@90.30,,DAY,11/10/2020 09:45:15 EST,
DraftKings Inc,DKNG,Sell,Filled,5,5,@39.70,39.70,DAY,11/10/2020 09:42:33 EST,11/10/2020 09:42:34 EST
Sunworks,SUNW,Buy,Filled,150,150,@3.40,3.40,DAY,11/09/2020 12:12:05 EST,11/09/2020 12:12:06 EST
Voxx Internatrnl,VOXX,Buy,Filled,50,50,@10.80,10.80,DAY,11/09/2020 12:02:28 EST,11/09/2020 12:03:01 EST
Applied DNA Sciences Inc,APDN,Sell,Filled,20,20,@6.71,6.71,DAY,11/09/2020 11:41:47 EST,11/09/2020 13:57:08 EST
Workhorse Group,WKHS,Buy,Filled,20,20,@18.20,18.20,DAY,11/09/2020 11:40:46 EST,11/09/2020 11:41:59 EST
GAN Ltd,GAN,Sell,Filled,50,50,@17.40,17.40,DAY,11/09/2020 11:38:53 EST,11/09/2020 11:38:54 EST
YOUDAO  INC.,DAO,Buy,Cancelled,0,5,@27.60,,DAY,11/09/2020 10:10:10 EST,
Aspen Group Inc,ASPU,Buy,Filled,50,50,@10.72,10.72,DAY,11/06/2020 11:22:51 EST,11/06/2020 11:58:30 EST
Alto Ingredients Inc,ALTO,Sell,Filled,50,50,@6.79,6.79,DAY,11/06/2020 09:40:48 EST,11/06/2020 09:40:49 EST
Beam Global,BEEM,Buy,Filled,10,10,@17.81,17.81,DAY,11/06/2020 09:39:06 EST,11/06/2020 09:42:16 EST
Alto Ingredients Inc,ALTO,Sell,Cancelled,0,50,6.40,,GTC,11/05/2020 12:23:08 EST,
Alto Ingredients Inc,ALTO,Sell,Cancelled,0,50,@7.64,,GTC,11/05/2020 12:23:08 EST,
YOUDAO  INC.,DAO,Buy,Filled,10,10,@28.77,28.77,DAY,11/05/2020 11:57:17 EST,11/05/2020 11:59:03 EST
Alto Ingredients Inc,ALTO,Buy,Filled,50,50,@7.10,7.10,DAY,11/05/2020 11:31:04 EST,11/05/2020 11:31:05 EST
DraftKings Inc,DKNG,Buy,Filled,10,10,@41.52,41.52,DAY,11/05/2020 10:28:27 EST,11/05/2020 10:29:07 EST
Alto Ingredients Inc,ALTO,Buy,Filled,50,50,@6.65,6.65,DAY,11/05/2020 10:21:31 EST,11/05/2020 10:35:13 EST
MTBC Inc,MTBC,Sell,Filled,20,20,@8.26,8.26,DAY,11/05/2020 10:12:37 EST,11/05/2020 10:12:38 EST
YOUDAO  INC.,DAO,Buy,Filled,10,10,@27.60,27.60,DAY,11/05/2020 09:34:05 EST,11/05/2020 09:35:20 EST
Workhorse Group,WKHS,Buy,Filled,10,10,@17.70,17.70,DAY,11/05/2020 04:06:19 EST,11/05/2020 04:19:35 EST
ACM Rsrch,ACMR,Buy,Filled,5,5,@86.14,86.14,DAY,11/04/2020 10:12:01 EST,11/04/2020 10:12:33 EST
DraftKings Inc,DKNG,Buy,Cancelled,0,15,@38.51,,DAY,11/04/2020 10:00:36 EST,
I-MAB,IMAB,Sell,Filled,15,15,@40.20,40.20,DAY,11/04/2020 09:40:32 EST,11/04/2020 09:40:32 EST
INFRASTRUCTURE A,IEA,Sell,Filled,50,50,@8.44,8.44,DAY,11/04/2020 09:32:43 EST,11/04/2020 09:33:06 EST
INFRASTRUCTURE A,IEA,Sell,Cancelled,0,50,@9.00,,DAY,11/04/2020 03:50:18 EST,
INFRASTRUCTURE A,IEA,Sell,Filled,20,20,@8.88,8.88,DAY,11/03/2020 19:16:19 EST,11/03/2020 19:16:36 EST
Switchback Energy Acquisition Corp,SBE,Buy,Cancelled,0,10,@14.30,,DAY,11/03/2020 10:28:04 EST,
LITHIUM AMERS,LAC,Buy,Cancelled,0,50,@10.20,,DAY,11/03/2020 10:11:42 EST,
YOUDAO  INC.,DAO,Buy,Cancelled,0,5,@26.22,,DAY,11/03/2020 09:58:07 EST,
INFRASTRUCTURE A,IEA,Sell,Cancelled,0,70,7.55,,GTC,11/03/2020 09:43:28 EST,
INFRASTRUCTURE A,IEA,Sell,Cancelled,0,70,@8.54,,GTC,11/03/2020 09:43:28 EST,
Workhorse Group,WKHS,Buy,Filled,20,20,@16.84,16.84,DAY,11/03/2020 05:12:52 EST,11/03/2020 05:45:23 EST
Ballard Power,BLDP,Buy,Cancelled,0,35,@14.80,,DAY,11/02/2020 11:36:27 EST,
GAN Ltd,GAN,Buy,Filled,10,10,@15.34,15.34,DAY,11/02/2020 11:13:40 EST,11/02/2020 12:50:52 EST
INFRASTRUCTURE A,IEA,Buy,Filled,70,70,@7.00,7.00,DAY,11/02/2020 10:08:03 EST,11/02/2020 13:07:57 EST
Applied DNA Sciences Inc,APDN,Sell,Cancelled,0,20,@8.00,,DAY,11/02/2020 09:57:08 EST,
Applied DNA Sciences Inc,APDN,Sell,Filled,20,20,@7.97,7.97,DAY,11/02/2020 09:45:03 EST,11/02/2020 09:45:03 EST
