Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
Zynga,ZNGA,Buy,Filled,50,50,@10.42,10.42,DAY,01/26/2021 11:08:05 EST,01/26/2021 11:08:06 EST
Trident Acquisitions,TDAC,Sell,Filled,40,40,@12.04,12.04,DAY,01/26/2021 10:38:48 EST,01/26/2021 10:38:49 EST
Clover Health Investments Corp,CLOV,Buy,Filled,50,50,@14.15,14.15,DAY,01/26/2021 10:33:56 EST,01/26/2021 10:34:00 EST
Agora  Inc.,API,Buy,Filled,15,15,@53.15,53.15,DAY,01/26/2021 10:26:03 EST,01/26/2021 10:26:31 EST
Canoo Inc,GOEV,Sell,Filled,20,20,@16.16,16.16,DAY,01/26/2021 10:23:46 EST,01/26/2021 10:24:21 EST
Rada,RADA,Sell,Filled,65,65,@10.75,10.75,DAY,01/26/2021 10:16:21 EST,01/26/2021 10:16:22 EST
Tuscan Holdings Corp,THCB,Sell,Filled,20,20,@14.40,14.40,DAY,01/26/2021 10:12:59 EST,01/26/2021 10:13:00 EST
Canoo Inc,GOEV,Sell,Filled,30,30,@16.22,16.22,DAY,01/26/2021 10:12:32 EST,01/26/2021 10:12:33 EST
Rada,RADA,Sell,Filled,20,20,@10.85,10.85,DAY,01/26/2021 10:09:19 EST,01/26/2021 10:10:38 EST
Perion Network,PERI,Buy,Cancelled,0,20,@15.40,,DAY,01/26/2021 10:01:26 EST,
QuantumScape Corp,QS,Sell,Filled,5,5,@47.00,47.00,DAY,01/26/2021 09:51:38 EST,01/26/2021 09:53:20 EST
Zynga,ZNGA,Buy,Filled,50,50,@10.34,10.34,DAY,01/26/2021 09:29:48 EST,01/26/2021 10:08:42 EST
Ideanomics Inc,IDEX,Buy,Filled,300,300,@3.86,3.86,DAY,01/25/2021 12:01:13 EST,01/25/2021 12:06:25 EST
Rada,RADA,Buy,Filled,20,20,@11.35,11.35,DAY,01/25/2021 11:57:45 EST,01/25/2021 11:57:46 EST
Luminar Technologies Inc,LAZR,Buy,Filled,30,30,@36.38,36.38,DAY,01/25/2021 11:39:15 EST,01/25/2021 11:39:16 EST
Churchill Capital Corp IV,CCIV,Buy,Cancelled,0,20,@20.00,,GTC,01/25/2021 11:27:40 EST,
Energous,WATT,Sell,Pending,0,150,3.10,,GTC,01/25/2021 11:13:27 EST,
Energous,WATT,Sell,Cancelled,0,150,@3.98,,GTC,01/25/2021 11:13:27 EST,
Experience Investment Corp,EXPC,Sell,Filled,50,50,@13.92,13.92,DAY,01/25/2021 11:09:55 EST,01/25/2021 11:09:56 EST
Fusion Fuel Green PLC,HTOO,Sell,Filled,15,15,@20.00,20.00,DAY,01/25/2021 11:08:31 EST,01/25/2021 11:20:27 EST
AGEAGLE AERIAL,UAVS,Sell,Filled,50,50,@11.94,11.94,DAY,01/25/2021 11:07:14 EST,01/25/2021 11:07:16 EST
Exone,XONE,Sell,Filled,5,5,@24.65,24.65,DAY,01/25/2021 11:02:26 EST,01/25/2021 11:03:50 EST
Energous,WATT,Sell,Filled,50,50,@3.93,3.93,DAY,01/25/2021 10:58:11 EST,01/25/2021 10:58:34 EST
FORUM MERGER III,FIII,Sell,Filled,70,70,@12.97,12.97,DAY,01/25/2021 10:42:05 EST,01/25/2021 10:42:06 EST
Root  Inc.,ROOT,Buy,Filled,25,25,@20.85,20.85,DAY,01/25/2021 10:15:50 EST,01/25/2021 10:15:51 EST
Evoke Pharma,EVOK,Sell,Filled,100,100,@2.80,2.80,DAY,01/25/2021 10:06:36 EST,01/25/2021 10:09:27 EST
Trident Acquisitions,TDAC,Sell,Filled,50,50,@12.27,12.27,DAY,01/25/2021 09:59:17 EST,01/25/2021 10:05:22 EST
Root  Inc.,ROOT,Buy,Filled,15,15,@20.00,20.00,DAY,01/25/2021 07:54:30 EST,01/25/2021 08:00:34 EST
Energous,WATT,Buy,Filled,200,200,@3.81,3.81,DAY,01/25/2021 04:46:26 EST,01/25/2021 05:32:41 EST
AGEAGLE AERIAL,UAVS,Sell,Filled,10,10,@13.01,13.01,DAY,01/22/2021 10:28:52 EST,01/22/2021 10:29:01 EST
Alto Ingredients Inc,ALTO,Buy,Filled,10,10,@6.55,6.55,DAY,01/22/2021 09:46:29 EST,01/22/2021 10:24:50 EST
QuantumScape Corp,QS,Buy,Filled,20,20,@48.80,48.80,DAY,01/22/2021 06:22:22 EST,01/22/2021 06:22:23 EST
QuantumScape Corp,QS,Buy,Cancelled,0,20,@48.80,,DAY,01/22/2021 06:21:50 EST,
BigCommerce Holdings  Inc.,BIGC,Buy,Filled,10,10,@69.80,69.80,DAY,01/21/2021 11:12:44 EST,01/21/2021 11:12:45 EST
Accuray,ARAY,Buy,Filled,50,50,@5.26,5.26,DAY,01/21/2021 10:45:46 EST,01/21/2021 10:45:46 EST
Fusion Fuel Green PLC,HTOO,Buy,Filled,5,5,@21.75,21.75,DAY,01/21/2021 10:31:40 EST,01/21/2021 10:39:26 EST
Zynex Inc.,ZYXI,Sell,Filled,60,60,@16.80,16.80,DAY,01/21/2021 10:11:05 EST,01/21/2021 10:11:06 EST
Experience Investment Corp,EXPC,Sell,Filled,10,10,@15.15,15.15,DAY,01/21/2021 09:43:02 EST,01/21/2021 09:43:03 EST
AGEAGLE AERIAL,UAVS,Sell,Filled,10,10,@12.78,12.78,DAY,01/21/2021 09:41:35 EST,01/21/2021 09:42:04 EST
Exone,XONE,Sell,Filled,10,10,@20.16,20.16,DAY,01/21/2021 09:39:41 EST,01/21/2021 09:39:41 EST
Opendoor Technologies Inc,OPEN,Buy,Filled,10,10,@30.98,30.98,DAY,01/21/2021 09:32:16 EST,01/21/2021 09:32:18 EST
AGEAGLE AERIAL,UAVS,Sell,Filled,5,5,@12.92,12.92,DAY,01/20/2021 11:20:29 EST,01/20/2021 11:20:29 EST
Evoke Pharma,EVOK,Buy,Filled,100,100,@2.87,2.87,DAY,01/20/2021 11:13:56 EST,01/20/2021 11:16:46 EST
XPENG INC.,XPEV,Sell,Filled,8,8,@51.25,51.25,DAY,01/20/2021 11:10:37 EST,01/20/2021 11:12:43 EST
EHang Holdings Ltd,EH,Sell,Filled,4,4,@69.41,69.41,DAY,01/20/2021 10:52:40 EST,01/20/2021 10:52:45 EST
Oblong Inc,OBLG,Sell,Filled,30,30,@4.42,4.42,DAY,01/20/2021 10:46:19 EST,01/20/2021 10:46:20 EST
Exone,XONE,Buy,Filled,15,15,@20.40,20.40,DAY,01/20/2021 10:39:50 EST,01/20/2021 10:39:51 EST
Accuray,ARAY,Buy,Filled,100,100,@4.96,4.96,DAY,01/20/2021 10:18:50 EST,01/20/2021 10:18:51 EST
Perion Network,PERI,Buy,Filled,10,10,@13.00,13.00,DAY,01/20/2021 10:16:19 EST,01/20/2021 10:16:57 EST
Opendoor Technologies Inc,OPEN,Buy,Filled,25,25,@29.65,29.65,DAY,01/20/2021 09:59:31 EST,01/20/2021 09:59:32 EST
EHang Holdings Ltd,EH,Sell,Filled,4,4,@53.75,53.75,DAY,01/20/2021 09:37:03 EST,01/20/2021 09:37:03 EST
LITHIUM AMERS,LAC,Sell,Filled,15,15,@22.88,22.88,DAY,01/20/2021 09:32:57 EST,01/20/2021 09:32:57 EST
LITHIUM AMERS,LAC,Sell,Filled,10,10,@26.42,26.42,DAY,01/19/2021 11:58:21 EST,01/19/2021 11:58:22 EST
CyberOptics,CYBE,Buy,Filled,15,15,@26.30,26.30,DAY,01/19/2021 09:58:38 EST,01/19/2021 10:02:06 EST
Zynex Inc.,ZYXI,Buy,Filled,40,40,@17.59,17.59,DAY,01/19/2021 09:44:00 EST,01/19/2021 09:44:01 EST
ACE Convergence Acquisition Corp,ACEV,Buy,Filled,80,80,@11.18,11.18,DAY,01/19/2021 06:08:15 EST,01/19/2021 06:08:46 EST
Lifeway Foods,LWAY,Buy,Cancelled,0,120,@5.82,,DAY,01/15/2021 13:10:49 EST,
Stable Road Acquisition Corp,SRAC,Sell,Filled,45,45,@19.42,19.42,DAY,01/15/2021 10:27:34 EST,01/15/2021 10:27:40 EST
EHang Holdings Ltd,EH,Sell,Filled,5,5,@44.31,44.31,DAY,01/15/2021 10:25:25 EST,01/15/2021 10:25:40 EST
Perion Network,PERI,Sell,Filled,25,25,@12.67,12.67,DAY,01/15/2021 10:23:02 EST,01/15/2021 10:23:03 EST
Eargo  Inc.,EAR,Sell,Filled,7,7,@54.50,54.50,DAY,01/15/2021 10:18:59 EST,01/15/2021 10:19:00 EST
Stable Road Acquisition Corp,SRAC,Sell,Filled,10,10,@19.78,19.78,DAY,01/15/2021 10:11:30 EST,01/15/2021 10:13:02 EST
AGEAGLE AERIAL,UAVS,Sell,Filled,25,25,@9.66,9.66,DAY,01/15/2021 10:10:01 EST,01/15/2021 10:10:02 EST
Alto Ingredients Inc,ALTO,Buy,Filled,50,50,@6.98,6.98,DAY,01/15/2021 09:47:56 EST,01/15/2021 09:47:56 EST
Array Technologies  Inc.,ARRY,Sell,Filled,15,15,@49.02,49.02,DAY,01/14/2021 12:05:56 EST,01/14/2021 12:13:23 EST
EHang Holdings Ltd,EH,Sell,Filled,4,4,@45.13,45.13,DAY,01/14/2021 10:52:04 EST,01/14/2021 10:52:10 EST
QuantumScape Corp,QS,Sell,Filled,7,7,@55.00,55.00,DAY,01/14/2021 10:50:43 EST,01/14/2021 10:53:16 EST
Canoo Inc,GOEV,Sell,Filled,15,15,@17.37,17.37,DAY,01/14/2021 10:41:34 EST,01/14/2021 11:38:12 EST
EMCORE,EMKR,Sell,Filled,40,40,@5.17,5.17,GTC,01/14/2021 10:38:53 EST,01/14/2021 12:18:55 EST
EMCORE,EMKR,Sell,Cancelled,0,40,@5.94,,GTC,01/14/2021 10:38:53 EST,
EHang Holdings Ltd,EH,Sell,Filled,3,3,@47.42,47.42,DAY,01/14/2021 10:37:17 EST,01/14/2021 10:37:18 EST
Rada,RADA,Buy,Filled,15,15,@10.50,10.50,DAY,01/14/2021 09:48:24 EST,01/14/2021 09:49:30 EST
EHang Holdings Ltd,EH,Sell,Filled,5,5,@42.65,42.65,DAY,01/14/2021 09:46:48 EST,01/14/2021 09:46:50 EST
Perion Network,PERI,Sell,Filled,10,10,@14.25,14.25,DAY,01/14/2021 09:43:41 EST,01/14/2021 09:44:13 EST
Eargo  Inc.,EAR,Sell,Filled,3,3,@58.26,58.26,DAY,01/14/2021 09:38:04 EST,01/14/2021 09:38:07 EST
RING ENERGY,REI,Sell,Filled,300,300,@0.980,0.980,GTC,01/14/2021 09:37:11 EST,01/27/2021 09:30:43 EST
RING ENERGY,REI,Sell,Cancelled,0,300,@1.20,,GTC,01/14/2021 09:37:11 EST,
Fusion Fuel Green PLC,HTOO,Buy,Filled,10,10,@23.12,23.12,DAY,01/14/2021 09:36:00 EST,01/14/2021 09:36:02 EST
Stable Road Acquisition Corp,SRAC,Sell,Filled,10,10,@21.10,21.10,DAY,01/14/2021 09:35:21 EST,01/14/2021 09:35:31 EST
Stable Road Acquisition Corp,SRAC,Sell,Filled,10,10,@21.93,21.93,DAY,01/14/2021 09:30:41 EST,01/14/2021 09:30:43 EST
Stable Road Acquisition Corp,SRAC,Sell,Filled,15,15,@21.30,21.30,DAY,01/14/2021 05:43:01 EST,01/14/2021 05:44:01 EST
Alto Ingredients Inc,ALTO,Sell,Cancelled,0,30,@7.80,,DAY,01/13/2021 12:44:07 EST,
Fusion Fuel Green PLC,HTOO,Buy,Filled,10,10,@20.06,20.06,DAY,01/13/2021 11:16:05 EST,01/13/2021 11:16:08 EST
Fusion Fuel Green PLC,HTOO,Buy,Filled,25,25,@20.20,20.20,DAY,01/13/2021 11:06:19 EST,01/13/2021 11:07:27 EST
RING ENERGY,REI,Sell,Filled,100,100,@1.11,1.11,DAY,01/13/2021 10:50:36 EST,01/13/2021 10:50:37 EST
